model with params (0.001, 'NONE', 'mid-low', 'high', 600, 200) took 4.548237323760986 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'high', 600, 300) took 4.619383811950684 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'high', 600, 500) took 4.673341512680054 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'high', 600, 700) took 4.736124038696289 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'high', 600, 900) took 4.825786590576172 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'mid', 300, 200) took 4.868793725967407 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'mid', 300, 300) took 4.923860311508179 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'mid', 300, 500) took 4.971431732177734 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'mid', 300, 700) took 5.037362098693848 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'mid', 300, 900) took 5.0944108963012695 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'mid', 600, 200) took 5.161395311355591 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'mid', 600, 300) took 5.227192163467407 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'mid', 600, 500) took 5.300896644592285 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'mid', 600, 700) took 5.3956828117370605 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'mid', 600, 900) took 5.467378854751587 to run on rank 5
model with params (0.001, 'NONE', 'mid-low', 'low', 300, 200)model with params (0.0001, 'NONE', 'high', 'high', 300, 200) took 0.06201291084289551 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'high', 300, 300) took 0.11347818374633789 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'high', 300, 500) took 0.1797959804534912 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'high', 300, 700) took 0.24434995651245117 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'high', 300, 900) took 0.317490816116333 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'high', 600, 200) took 0.3828275203704834 to run on rank 0
model with params (0.0001, 'NONE', 'high', 'high', 600, 300) took 0.44739532470703125 to run on rank 0
