,num_agents,num_attacks
415,381,2010
416,369,2017
417,370,2019
418,375,2025
419,379,2033
420,379,2037
421,381,2049
422,373,2059
423,374,2063
424,371,2069
425,369,2078
426,360,2083
427,365,2094
428,357,2102
429,353,2117
430,348,2138
431,334,2141
432,335,2143
433,335,2143
434,336,2143
435,343,2146
436,348,2147
437,356,2149
438,357,2150
439,357,2151
440,367,2153
441,369,2155
442,375,2160
443,375,2163
444,373,2164
445,372,2165
446,373,2167
447,371,2171
448,375,2175
449,374,2181
450,377,2183
451,379,2187
452,379,2197
453,375,2199
454,375,2209
455,372,2212
456,369,2215
457,372,2220
458,376,2229
459,376,2231
460,380,2233
461,388,2236
462,397,2240
463,402,2244
464,400,2247
465,409,2252
466,411,2256
467,414,2266
468,415,2282
469,403,2298
470,398,2361
471,340,2370
472,338,2372
473,344,2377
474,347,2395
475,333,2411
476,319,2415
477,320,2417
478,318,2417
479,327,2418
480,326,2419
481,329,2420
482,337,2423
483,341,2426
484,340,2427
485,339,2430
486,339,2431
487,344,2436
488,347,2438
489,345,2438
490,351,2440
491,352,2440
492,352,2444
493,356,2450
494,359,2454
495,355,2454
496,361,2456
497,370,2460
498,373,2462
499,372,2462
500,372,2465
501,370,2469
502,377,2476
503,374,2478
504,383,2483
505,383,2485
506,384,2504
507,366,2516
508,359,2518
509,365,2523
510,370,2525
511,379,2527
512,381,2529
513,388,2531
514,386,2532
515,387,2536
516,387,2540
517,392,2545
518,397,2552
519,396,2560
520,393,2569
521,384,2574
522,388,2583
523,387,2587
524,391,2597
525,387,2605
526,387,2615
527,387,2622
528,390,2625
529,387,2625
530,388,2625
531,390,2625
532,400,2626
533,401,2627
534,407,2630
535,411,2633
536,408,2633
537,416,2635
538,418,2638
539,416,2640
540,415,2642
541,413,2645
542,412,2649
543,418,2652
544,415,2652
545,423,2655
546,421,2655
547,427,2659
548,434,2667
549,433,2668
550,445,2671
551,451,2678
552,445,2678
553,454,2685
554,452,2690
555,454,2697
556,458,2706
557,460,2713
558,456,2716
559,457,2717
560,458,2723
561,465,2733
562,467,2738
563,466,2745
564,461,2750
565,470,2759
566,467,2764
567,468,2768
568,478,2776
569,482,2783
570,482,2793
571,481,2818
572,458,2824
573,453,2831
574,454,2836
575,449,2844
576,453,2852
577,456,2859
578,456,2874
579,446,2888
580,441,2896
581,443,2901
582,443,2910
583,447,2921
584,440,2924
585,440,2932
586,443,2940
587,437,2945
588,432,2949
589,440,2953
590,441,2954
591,445,2956
592,455,2959
593,458,2963
594,461,2967
595,465,2972
596,463,2977
597,469,2979
598,481,2986
599,487,2993
600,488,3003
601,489,3016
602,484,3023
603,489,3033
604,484,3042
605,489,3052
606,492,3056
607,501,3067
608,505,3079
609,495,3086
610,492,3092
611,490,3101
612,492,3110
613,494,3124
614,486,3133
615,479,3146
616,473,3150
617,475,3154
618,477,3164
619,478,3177
620,478,3182
621,481,3192
622,484,3195
623,489,3200
624,494,3208
625,501,3217
626,507,3231
627,494,3235
628,494,3243
629,498,3251
630,505,3264
631,504,3269
632,509,3274
633,513,3279
634,508,3282
635,509,3287
636,505,3298
637,508,3304
638,505,3316
639,500,3324
640,504,3335
641,498,3337
642,511,3348
643,515,3357
644,511,3371
645,507,3381
646,508,3387
647,513,3390
648,523,3402
649,524,3412
650,528,3422
651,527,3434
652,528,3450
653,526,3460
654,529,3485
655,511,3491
656,519,3511
657,505,3529
658,499,3540
659,500,3551
660,495,3557
661,502,3564
662,507,3575
663,511,3584
664,510,3588
665,511,3596
666,515,3606
667,512,3609
668,520,3611
669,530,3614
670,541,3619
671,540,3627
672,547,3650
673,525,3679
674,504,3697
675,493,3707
676,488,3715
677,492,3735
678,480,3744
679,481,3761
680,478,3774
681,470,3782
682,474,3793
683,463,3795
684,467,3800
685,469,3813
686,469,3818
687,470,3822
688,473,3837
689,471,3859
690,458,3864
691,467,3870
692,465,3878
693,460,3883
694,457,3889
695,463,3895
696,461,3910
697,450,3914
698,455,3920
699,460,3931
