,step_cat,status,num_agents,step
268,148,combatant,14,148
269,148,neutral,138,148
270,148,sympathetic,138,148
272,149,anti-violence,226,149
273,149,combatant,14,149
274,149,neutral,144,149
275,149,sympathetic,140,149
277,15,anti-violence,80,15
278,15,combatant,3,15
279,15,neutral,52,15
280,15,sympathetic,27,15
282,150,anti-violence,229,150
283,150,combatant,12,150
284,150,neutral,143,150
285,150,sympathetic,144,150
287,151,anti-violence,224,151
288,151,combatant,10,151
289,151,neutral,145,151
290,151,sympathetic,143,151
292,152,anti-violence,221,152
293,152,combatant,11,152
294,152,neutral,141,152
295,152,sympathetic,145,152
297,153,anti-violence,215,153
298,153,combatant,13,153
299,153,neutral,145,153
300,153,sympathetic,148,153
302,154,anti-violence,209,154
303,154,combatant,20,154
304,154,neutral,150,154
305,154,sympathetic,149,154
307,155,anti-violence,205,155
308,155,combatant,18,155
309,155,neutral,151,155
310,155,sympathetic,143,155
312,156,anti-violence,198,156
313,156,combatant,23,156
314,156,neutral,155,156
315,156,sympathetic,140,156
317,157,anti-violence,196,157
318,157,combatant,24,157
319,157,neutral,153,157
320,157,sympathetic,142,157
322,158,anti-violence,188,158
323,158,combatant,18,158
324,158,neutral,150,158
325,158,sympathetic,147,158
327,159,anti-violence,183,159
328,159,combatant,17,159
329,159,neutral,156,159
330,159,sympathetic,143,159
332,16,anti-violence,82,16
333,16,neutral,50,16
334,16,sympathetic,28,16
336,160,anti-violence,175,160
337,160,combatant,27,160
338,160,neutral,162,160
339,160,sympathetic,140,160
341,161,anti-violence,176,161
342,161,combatant,34,161
343,161,neutral,161,161
344,161,sympathetic,134,161
346,162,anti-violence,171,162
347,162,combatant,24,162
348,162,neutral,158,162
349,162,sympathetic,138,162
351,163,anti-violence,167,163
352,163,combatant,14,163
353,163,neutral,159,163
354,163,sympathetic,138,163
356,164,anti-violence,163,164
357,164,combatant,15,164
358,164,neutral,147,164
359,164,sympathetic,148,164
361,165,anti-violence,157,165
362,165,combatant,24,165
363,165,neutral,147,165
364,165,sympathetic,151,165
366,166,anti-violence,156,166
367,166,combatant,16,166
368,166,neutral,149,166
369,166,sympathetic,155,166
371,167,anti-violence,158,167
372,167,combatant,17,167
373,167,neutral,142,167
374,167,sympathetic,156,167
376,168,anti-violence,159,168
377,168,combatant,18,168
378,168,neutral,142,168
379,168,sympathetic,159,168
381,169,anti-violence,159,169
382,169,combatant,13,169
383,169,neutral,146,169
384,169,sympathetic,157,169
386,17,anti-violence,83,17
387,17,neutral,50,17
388,17,sympathetic,29,17
390,170,anti-violence,151,170
391,170,combatant,27,170
392,170,neutral,158,170
393,170,sympathetic,147,170
395,171,anti-violence,150,171
396,171,combatant,24,171
397,171,neutral,156,171
398,171,sympathetic,149,171
400,172,anti-violence,148,172
401,172,combatant,14,172
402,172,neutral,149,172
